,wf_zipcode,state,county,latitude,longitude,windmills_count,pop_density,med_household_income,zipcode_withno_wf,distance_from_wfzipcode,Unnamed: 0,ZipCode,StateName,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change
15,2878,RI,Newport County,41.620491,-71.1539,1,543,73085.0,0,0,3113,2878,Rhode Island,247700.0,247700.0,247700.0,247700.0,247700.0,247700.0,247700.0,240000.0,240500.0,336100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031085991118288248,0.002083333333333437,0.3975051975051975
16,43235,OH,Franklin County,40.11075200000001,-83.082306,1,2854,64666.0,0,0,496,43235,Ohio,198100.0,198100.0,198100.0,198100.0,198100.0,198100.0,198100.0,231500.0,203600.0,229700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686017163048965,-0.12051835853131754,0.12819253438113942
17,43616,OH,Lucas County,41.657192,-83.413498,1,521,55451.0,0,0,2777,43616,Ohio,102100.0,102100.0,102100.0,102100.0,108800.0,124300.0,106100.0,130300.0,127100.0,127800.0,0.0,0.0,0.0,0.06562193927522042,0.14246323529411775,-0.14641995172968625,0.22808671065032993,-0.024558710667689998,0.0055074744295831035
18,44017,OH,Cuyahoga County,41.366493,-81.83919499999998,1,3083,56199.0,0,0,2999,44017,Ohio,120300.0,120300.0,120300.0,120300.0,120300.0,120300.0,120300.0,108600.0,130600.0,137300.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09725685785536164,0.20257826887661134,0.05130168453292505
19,44039,OH,Lorain County,41.33990900000001,-82.042625,2,1249,67127.0,0,0,1397,44039,Ohio,133500.0,146700.0,145600.0,142400.0,134700.0,141300.0,154300.0,161100.0,178900.0,182500.0,0.09887640449438195,-0.00749829584185413,-0.02197802197802201,-0.0540730337078652,0.04899777282850781,0.0920028308563341,0.044069993519118666,0.11049037864680322,0.020122973728339932
20,44212,OH,Medina County,41.24814600000001,-81.883057,1,2011,65113.0,0,0,634,44212,Ohio,138900.0,138900.0,138900.0,138900.0,148500.0,163000.0,151800.0,156100.0,163100.0,179600.0,0.0,0.0,0.0,0.06911447084233258,0.09764309764309775,-0.06871165644171784,0.02832674571805005,0.04484304932735417,0.10116492949110967
21,55068,MN,Dakota County,44.728298,-93.048073,1,642,85602.0,0,0,2229,55068,Minnesota,178200.0,178200.0,178200.0,190400.0,192400.0,204100.0,230500.0,225600.0,226300.0,250500.0,0.0,0.0,0.06846240179573515,0.010504201680672232,0.060810810810810745,0.12934835864772176,-0.02125813449023861,0.00310283687943258,0.10693769332744152
22,55109,MN,Ramsey County,45.011433,-92.998383,1,2686,51782.0,0,0,1499,55109,Minnesota,185100.0,173000.0,157900.0,152400.0,141100.0,174900.0,194300.0,183500.0,204900.0,213400.0,-0.0653700702323069,-0.08728323699421969,-0.03483217226092461,-0.0741469816272966,0.2395464209780298,0.11092052601486557,-0.05558414822439528,0.1166212534059945,0.041483650561249474
23,55316,MN,Anoka County,45.22728,-93.38369,1,2827,84768.0,0,0,2757,55316,Minnesota,188800.0,188800.0,188800.0,188800.0,188800.0,188800.0,185200.0,197100.0,226600.0,241400.0,0.0,0.0,0.0,0.0,0.0,-0.01906779661016944,0.06425485961123112,0.1496702181633689,0.06531332744924967
24,55347,MN,Scott County,44.799507,-93.499779,1,1787,116682.0,0,0,2075,55347,Minnesota,362100.0,362100.0,362100.0,362100.0,362100.0,362100.0,339600.0,304700.0,322800.0,321100.0,0.0,0.0,0.0,0.0,0.0,-0.06213753106876552,-0.1027679623085983,0.05940269117164432,-0.005266418835192077
25,55369,MN,Hennepin County,45.09507,-93.435242,1,1357,78965.0,0,0,1174,55369,Minnesota,207800.0,207800.0,207800.0,207800.0,207800.0,207800.0,193200.0,224700.0,220100.0,247100.0,0.0,0.0,0.0,0.0,0.0,-0.0702598652550529,0.16304347826086962,-0.02047174009790831,0.12267151294865974
26,55379,MN,Scott County,44.736092,-93.482994,1,686,79592.0,0,0,965,55379,Minnesota,198700.0,198700.0,198700.0,198700.0,179900.0,196900.0,230400.0,205600.0,234100.0,230400.0,0.0,0.0,0.0,-0.09461499748364366,0.09449694274597009,0.17013712544438797,-0.10763888888888884,0.1386186770428015,-0.0158052114480991
27,91739,CA,San Bernardino County,34.084896,-117.52639,1,1184,103203.0,0,0,1858,91739,California,419400.0,415600.0,415800.0,364400.0,416300.0,515800.0,491200.0,550000.0,624700.0,642000.0,-0.009060562708631426,0.00048123195380167516,-0.12361712361712363,0.14242590559824375,0.23901032908959885,-0.047692904226444344,0.11970684039087942,0.13581818181818184,0.027693292780534673
28,92220,CA,Riverside County,33.917194,-116.815086,2,255,39291.0,0,0,1750,92220,California,115600.0,115600.0,118700.0,118000.0,146600.0,160400.0,178600.0,207900.0,225900.0,249300.0,0.0,0.026816608996539815,-0.005897219882055604,0.24237288135593227,0.09413369713506148,0.11346633416458851,0.16405375139977596,0.08658008658008653,0.10358565737051784
29,92234,CA,Riverside County,33.881794,-116.460991,8,3251,44440.0,0,0,487,92234,California,176200.0,159300.0,162600.0,136800.0,167000.0,213700.0,231700.0,252900.0,251000.0,276200.0,-0.09591373439273554,0.020715630885122405,-0.15867158671586712,0.2207602339181287,0.2796407185628742,0.08423022929340207,0.09149762624082869,-0.007512850929221049,0.10039840637450204
30,92240,CA,Riverside County,33.919495,-116.573288,33,949,33682.0,0,0,1436,92240,California,118300.0,118300.0,118300.0,118300.0,118300.0,130100.0,147600.0,157100.0,181700.0,205100.0,0.0,0.0,0.0,0.0,0.0997464074387151,0.13451191391237516,0.06436314363143625,0.15658816040738377,0.12878370941111728
31,92262,CA,Riverside County,33.889694,-116.57679,145,714,46515.0,0,0,1226,92262,California,209100.0,209100.0,209100.0,209100.0,258900.0,307800.0,320000.0,362100.0,361100.0,368600.0,0.0,0.0,0.0,0.2381635581061694,0.18887601390498254,0.03963612735542554,0.13156250000000003,-0.002761668047500665,0.020769869842149014
32,92307,CA,San Bernardino County,34.623196,-117.112785,2,222,56477.0,0,0,1204,92307,California,137200.0,131300.0,125900.0,123000.0,142200.0,167700.0,189500.0,202600.0,224400.0,260900.0,-0.04300291545189505,-0.041127189642041095,-0.023034154090548098,0.15609756097560967,0.17932489451476785,0.12999403697078105,0.06912928759894466,0.10760118460019741,0.16265597147950084
33,92311,CA,San Bernardino County,34.862396000000004,-116.959785,1,128,46279.0,0,0,1965,92311,California,53900.0,53900.0,53900.0,53500.0,49700.0,79100.0,66700.0,89300.0,102500.0,126500.0,0.0,0.0,-0.007421150278293154,-0.07102803738317753,0.591549295774648,-0.156763590391909,0.33883058470764627,0.1478163493840985,0.23414634146341462
34,92394,CA,San Bernardino County,34.561996,-117.30719,2,1218,53993.0,0,0,2574,92394,California,108200.0,110900.0,114600.0,110700.0,125200.0,157600.0,176100.0,195400.0,211500.0,238300.0,0.024953789279112737,0.03336339044183956,-0.03403141361256545,0.13098464317976521,0.2587859424920127,0.11738578680203049,0.10959681998864279,0.08239508700102349,0.1267139479905437
35,92395,CA,San Bernardino County,34.557693,-117.358292,1,2479,38084.0,0,0,1100,92395,California,101600.0,111300.0,102100.0,103200.0,125300.0,153600.0,167700.0,199600.0,206700.0,234000.0,0.09547244094488194,-0.08265947888589398,0.010773751224289807,0.21414728682170536,0.22585794094173983,0.091796875,0.1902206320810973,0.035571142284569035,0.13207547169811318
36,93534,CA,Los Angeles County,34.691982,-118.221596,1,2215,35892.0,0,0,1077,93534,California,78800.0,91700.0,95400.0,92600.0,114200.0,134500.0,144100.0,155900.0,196600.0,229400.0,0.16370558375634525,0.040348964013086075,-0.02935010482180289,0.2332613390928726,0.17775831873905434,0.07137546468401479,0.08188757807078417,0.2610647851186658,0.16683621566632767
37,93550,CA,Los Angeles County,34.555896999999995,-118.118286,1,382,38316.0,0,0,201,93550,California,103000.0,109300.0,116100.0,109600.0,127000.0,160700.0,177000.0,201400.0,229200.0,256000.0,0.061165048543689426,0.06221408966148223,-0.05598621877691645,0.15875912408759119,0.26535433070866143,0.10143123833229617,0.13785310734463274,0.1380337636544191,0.1169284467713787
38,93561,CA,Kern County,35.099396,-118.338585,1831,131,57433.0,0,0,1801,93561,California,181200.0,178500.0,155900.0,132800.0,158000.0,172000.0,230600.0,231800.0,233700.0,242400.0,-0.01490066225165565,-0.12661064425770308,-0.1481719050673509,0.18975903614457823,0.08860759493670889,0.34069767441860455,0.005203816131829964,0.008196721311475308,0.037227214377406836
39,94502,CA,Alameda County,37.732441,-122.25177,6,5074,105616.0,0,0,3573,94502,California,450300.0,450300.0,450300.0,450300.0,551400.0,601300.0,610300.0,910300.0,858000.0,918700.0,0.0,0.0,0.0,0.2245169886742171,0.09049691693870154,0.014967570264426966,0.49156152711781087,-0.05745358672964962,0.07074592074592068
40,94551,CA,Contra Costa County,37.802994,-121.653885,38,467,95716.0,0,0,1155,94551,California,350800.0,381100.0,341400.0,330300.0,397800.0,506500.0,553500.0,598000.0,634400.0,718200.0,0.08637400228050174,-0.10417213329834685,-0.032513181019332205,0.20435967302452318,0.27325289089994964,0.09279368213228034,0.08039747064137304,0.0608695652173914,0.13209331651954592
41,94947,CA,Marin County,38.15757,-122.679672,1,1070,80719.0,0,0,2612,94947,California,428900.0,430100.0,356100.0,425000.0,480400.0,556900.0,605500.0,665100.0,739900.0,766300.0,0.0027978549778502337,-0.1720530109276912,0.19348497613030058,0.13035294117647056,0.1592422980849293,0.08726880948105586,0.09843104872006614,0.11246429108404743,0.03568049736450862
42,95023,CA,Merced County,37.031593,-121.17618600000002,163,118,67481.0,0,0,1053,95023,California,264000.0,259600.0,265600.0,238300.0,287900.0,385200.0,426100.0,478000.0,508800.0,530100.0,-0.01666666666666672,0.023112480739599484,-0.10278614457831325,0.20814099874108272,0.33796457103160815,0.10617860851505712,0.12180239380427138,0.06443514644351467,0.04186320754716988
43,95377,CA,Alameda County,37.699894,-121.597389,1400,286,98072.0,0,0,2767,95377,California,248500.0,275500.0,267300.0,269000.0,306600.0,393800.0,402800.0,432700.0,461100.0,508000.0,0.10865191146881292,-0.029764065335753154,0.00635989524878422,0.13977695167286242,0.28440965427266796,0.022854240731335684,0.07423038728897713,0.06563438872197835,0.1017132942962482
44,95391,CA,Alameda County,37.759995,-121.577583,84,419,99764.0,0,0,3582,95391,California,323700.0,320700.0,308500.0,305700.0,352000.0,438900.0,424100.0,503800.0,503500.0,588200.0,-0.009267840593141785,-0.03804178359837851,-0.009076175040518608,0.1514556754988552,0.24687499999999996,-0.03372066529961271,0.1879273756189579,-0.0005954743946010588,0.16822244289970212
45,95616,CA,Yolo County,38.580673,-121.861214,1,1707,44741.0,0,0,603,95616,California,529600.0,529600.0,529600.0,529600.0,529600.0,529600.0,529600.0,536500.0,575400.0,638600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013028700906344337,0.072506989748369,0.10983663538408073
