,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2015,y2016,y2017,y2018,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
33,CA,San Bernardino County,34.862396000000004,-116.959785,128.0,46279.0,92311,California,66700.0,89300.0,102500.0,126500.0,0.33883058470764627,0.1478163493840985,0.23414634146341462,1,0.4222222222222222
34,CA,San Bernardino County,34.561996,-117.30719,1218.0,53993.0,92394,California,176100.0,195400.0,211500.0,238300.0,0.10959681998864279,0.08239508700102349,0.1267139479905437,1,0.14063860667634254
35,CA,San Bernardino County,34.557693,-117.358292,2479.0,38084.0,92395,California,167700.0,199600.0,206700.0,234000.0,0.1902206320810973,0.035571142284569035,0.13207547169811318,1,0.19795291709314228
36,CA,Los Angeles County,34.691982,-118.221596,2215.0,35892.0,93534,California,144100.0,155900.0,196600.0,229400.0,0.08188757807078417,0.2610647851186658,0.16683621566632767,1,0.2138728323699422
37,CA,Los Angeles County,34.555896999999995,-118.118286,382.0,38316.0,93550,California,177000.0,201400.0,229200.0,256000.0,0.13785310734463274,0.1380337636544191,0.1169284467713787,1,0.14150943396226415
38,CA,Kern County,35.099396,-118.338585,131.0,57433.0,93561,California,230600.0,231800.0,233700.0,242400.0,0.005203816131829964,0.008196721311475308,0.037227214377406836,1,0.2574420714109013
39,CA,Alameda County,37.732441,-122.25177,5074.0,105616.0,94502,California,610300.0,910300.0,858000.0,918700.0,0.49156152711781087,-0.05745358672964962,0.07074592074592068,1,0.6963328780077755
40,CA,Contra Costa County,37.802994,-121.653885,467.0,95716.0,94551,California,553500.0,598000.0,634400.0,718200.0,0.08039747064137304,0.0608695652173914,0.13209331651954592,1,0.4547343188174191
41,CA,Marin County,38.15757,-122.679672,1070.0,80719.0,94947,California,605500.0,665100.0,739900.0,766300.0,0.09843104872006614,0.11246429108404743,0.03568049736450862,1,0.5053899082568807
42,CA,Merced County,37.031593,-121.17618600000002,118.0,67481.0,95023,California,426100.0,478000.0,508800.0,530100.0,0.12180239380427138,0.06443514644351467,0.04186320754716988,1,0.254496635610766
43,CA,Alameda County,37.699894,-121.597389,286.0,98072.0,95377,California,402800.0,432700.0,461100.0,508000.0,0.07423038728897713,0.06563438872197835,0.1017132942962482,1,0.37219975958911594
44,CA,Alameda County,37.759995,-121.577583,419.0,99764.0,95391,California,424100.0,503800.0,503500.0,588200.0,0.1879273756189579,-0.0005954743946010588,0.16822244289970212,1,0.483203011873733
46,MA,Worcester County,42.15,-71.52,1886.0,66547.0,1757,Massachusetts,264300.0,271000.0,286800.0,290300.0,0.025349981082103623,0.05830258302583036,0.01220362622036264,0,0.4354695729259008
47,MA,Suffolk County,42.4,-71.03,15907.0,47291.0,2150,Massachusetts,241200.0,261700.0,317400.0,341500.0,0.08499170812603651,0.2128391287734046,0.0759294265910524,0,0.20588107355691854
48,MA,Essex County,42.47,-71.01,2468.0,76339.0,1906,Massachusetts,322400.0,337600.0,366900.0,404600.0,0.04714640198511155,0.08678909952606628,0.10275279367675116,0,0.33579118124170476
50,MA,Bristol County,41.64,-70.94,7579.0,34259.0,2740,Massachusetts,159700.0,151200.0,210000.0,183500.0,-0.05322479649342515,0.38888888888888884,-0.1261904761904762,0,0.23110957483581057
51,MN,Hennepin County,44.92,-93.48,1859.0,89936.0,55345,Minnesota,310600.0,313000.0,336000.0,376400.0,0.007726980038634812,0.07348242811501593,0.12023809523809526,0,0.6268588869407105
