,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2014,y2015,y2016,y2017,y2018,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
1,MA,Essex County,42.628193,-70.649399,1099.0,61449.0,1930,Massachusetts,348300.0,345700.0,342100.0,362900,378900.0,-0.0074648291702554825,-0.01041365345675438,0.06080093539900622,0.04408928079360708,1,0.42331203750517077
2,MA,Essex County,42.716091,-70.841103,433.0,77087.0,1938,Massachusetts,372800.0,392200.0,393000.0,467100,420000.0,0.05203862660944214,0.0020397756246812726,0.1885496183206108,-0.100834938985228,1,0.5649285282866922
3,MA,Plymouth County,42.175091,-70.7285,1043.0,100833.0,2066,Massachusetts,430700.0,440400.0,476800.0,496700,498700.0,0.02252147666589277,0.08265213442325159,0.041736577181208157,0.004026575397624299,1,0.6093533956893046
5,MA,Suffolk County,42.391491,-71.070999,12192.0,86346.0,2129,Massachusetts,599100.0,576400.0,622500.0,649700,731800.0,-0.037890168586212636,0.0799791811242192,0.04369477911646591,0.1263660150838848,1,0.634900434196736
8,MA,Middlesex County,42.408993,-71.099098,7072.0,73567.0,2155,Massachusetts,367000.0,401400.0,450300.0,483900,544300.0,0.09373297002724801,0.12182361733931235,0.07461692205196546,0.12481917751601568,1,0.4979336809997048
9,MA,Plymouth County,41.925491,-70.644302,589.0,76565.0,2360,Massachusetts,283700.0,319100.0,326100.0,318900,346400.0,0.12477969686288337,0.02193669696020062,-0.022079116835326595,0.08623392913138916,1,0.44689042448173744
10,MA,Bristol County,41.639091,-70.873398,1287.0,60326.0,2719,Massachusetts,227000.0,197400.0,221400.0,253600,277200.0,-0.13039647577092506,0.12158054711246202,0.14543812104787723,0.09305993690851744,1,0.3427032486113449
12,MA,Bristol County,41.62669,-71.010597,7579.0,34259.0,2740,Massachusetts,151400.0,159700.0,151200.0,210000,183500.0,0.05482166446499348,-0.05322479649342515,0.38888888888888884,-0.1261904761904762,1,0.23110957483581057
17,OH,Lucas County,41.657192,-83.413498,521.0,55451.0,43616,Ohio,124300.0,106100.0,130300.0,127100,127800.0,-0.14641995172968625,0.22808671065032993,-0.024558710667689998,0.0055074744295831035,1,0.30031905505396783
19,OH,Lorain County,41.33990900000001,-82.042625,1249.0,67127.0,44039,Ohio,141300.0,154300.0,161100.0,178900,182500.0,0.0920028308563341,0.044069993519118666,0.11049037864680322,0.020122973728339932,1,0.3700834326579261
20,OH,Medina County,41.24814600000001,-81.883057,2011.0,65113.0,44212,Ohio,163000.0,151800.0,156100.0,163100,179600.0,-0.06871165644171784,0.02832674571805005,0.04484304932735417,0.10116492949110967,1,0.33335563509851807
21,MN,Dakota County,44.728298,-93.048073,642.0,85602.0,55068,Minnesota,204100.0,230500.0,225600.0,226300,250500.0,0.12934835864772176,-0.02125813449023861,0.00310283687943258,0.10693769332744152,1,0.5077565295876347
22,MN,Ramsey County,45.011433,-92.998383,2686.0,51782.0,55109,Minnesota,174900.0,194300.0,183500.0,204900,213400.0,0.11092052601486557,-0.05558414822439528,0.1166212534059945,0.041483650561249474,1,0.3543123543123543
26,MN,Scott County,44.736092,-93.482994,686.0,79592.0,55379,Minnesota,196900.0,230400.0,205600.0,234100,230400.0,0.17013712544438797,-0.10763888888888884,0.1386186770428015,-0.0158052114480991,1,0.4760686046067459
27,CA,San Bernardino County,34.084896,-117.52639,1184.0,103203.0,91739,California,515800.0,491200.0,550000.0,624700,642000.0,-0.047692904226444344,0.11970684039087942,0.13581818181818184,0.027693292780534673,1,0.45753281752586283
28,CA,Riverside County,33.917194,-116.815086,255.0,39291.0,92220,California,160400.0,178600.0,207900.0,225900,249300.0,0.11346633416458851,0.16405375139977596,0.08658008658008653,0.10358565737051784,1,0.2214457211456011
29,CA,Riverside County,33.881794,-116.460991,3251.0,44440.0,92234,California,213700.0,231700.0,252900.0,251000,276200.0,0.08423022929340207,0.09149762624082869,-0.007512850929221049,0.10039840637450204,1,0.2211038156590684
30,CA,Riverside County,33.919495,-116.573288,949.0,33682.0,92240,California,130100.0,147600.0,157100.0,181700,205100.0,0.13451191391237516,0.06436314363143625,0.15658816040738377,0.12878370941111728,1,0.1883742316441605
31,CA,Riverside County,33.889694,-116.57679,714.0,46515.0,92262,California,307800.0,320000.0,362100.0,361100,368600.0,0.03963612735542554,0.13156250000000003,-0.002761668047500665,0.020769869842149014,1,0.3965992877564328
32,CA,San Bernardino County,34.623196,-117.112785,222.0,56477.0,92307,California,167700.0,189500.0,202600.0,224400,260900.0,0.12999403697078105,0.06912928759894466,0.10760118460019741,0.16265597147950084,1,0.2702543867013685
33,CA,San Bernardino County,34.862396000000004,-116.959785,128.0,46279.0,92311,California,79100.0,66700.0,89300.0,102500,126500.0,-0.156763590391909,0.33883058470764627,0.1478163493840985,0.23414634146341462,1,0.4222222222222222
34,CA,San Bernardino County,34.561996,-117.30719,1218.0,53993.0,92394,California,157600.0,176100.0,195400.0,211500,238300.0,0.11738578680203049,0.10959681998864279,0.08239508700102349,0.1267139479905437,1,0.14063860667634254
35,CA,San Bernardino County,34.557693,-117.358292,2479.0,38084.0,92395,California,153600.0,167700.0,199600.0,206700,234000.0,0.091796875,0.1902206320810973,0.035571142284569035,0.13207547169811318,1,0.19795291709314228
36,CA,Los Angeles County,34.691982,-118.221596,2215.0,35892.0,93534,California,134500.0,144100.0,155900.0,196600,229400.0,0.07137546468401479,0.08188757807078417,0.2610647851186658,0.16683621566632767,1,0.2138728323699422
37,CA,Los Angeles County,34.555896999999995,-118.118286,382.0,38316.0,93550,California,160700.0,177000.0,201400.0,229200,256000.0,0.10143123833229617,0.13785310734463274,0.1380337636544191,0.1169284467713787,1,0.14150943396226415
38,CA,Kern County,35.099396,-118.338585,131.0,57433.0,93561,California,172000.0,230600.0,231800.0,233700,242400.0,0.34069767441860455,0.005203816131829964,0.008196721311475308,0.037227214377406836,1,0.2574420714109013
39,CA,Alameda County,37.732441,-122.25177,5074.0,105616.0,94502,California,601300.0,610300.0,910300.0,858000,918700.0,0.014967570264426966,0.49156152711781087,-0.05745358672964962,0.07074592074592068,1,0.6963328780077755
40,CA,Contra Costa County,37.802994,-121.653885,467.0,95716.0,94551,California,506500.0,553500.0,598000.0,634400,718200.0,0.09279368213228034,0.08039747064137304,0.0608695652173914,0.13209331651954592,1,0.4547343188174191
41,CA,Marin County,38.15757,-122.679672,1070.0,80719.0,94947,California,556900.0,605500.0,665100.0,739900,766300.0,0.08726880948105586,0.09843104872006614,0.11246429108404743,0.03568049736450862,1,0.5053899082568807
42,CA,Merced County,37.031593,-121.17618600000002,118.0,67481.0,95023,California,385200.0,426100.0,478000.0,508800,530100.0,0.10617860851505712,0.12180239380427138,0.06443514644351467,0.04186320754716988,1,0.254496635610766
43,CA,Alameda County,37.699894,-121.597389,286.0,98072.0,95377,California,393800.0,402800.0,432700.0,461100,508000.0,0.022854240731335684,0.07423038728897713,0.06563438872197835,0.1017132942962482,1,0.37219975958911594
44,CA,Alameda County,37.759995,-121.577583,419.0,99764.0,95391,California,438900.0,424100.0,503800.0,503500,588200.0,-0.03372066529961271,0.1879273756189579,-0.0005954743946010588,0.16822244289970212,1,0.483203011873733
46,MA,Worcester County,42.15,-71.52,1886.0,66547.0,1757,Massachusetts,258900.0,264300.0,271000.0,286800,290300.0,0.02085747392815751,0.025349981082103623,0.05830258302583036,0.01220362622036264,0,0.4354695729259008
48,MA,Essex County,42.47,-71.01,2468.0,76339.0,1906,Massachusetts,323500.0,322400.0,337600.0,366900,404600.0,-0.0034003091190107915,0.04714640198511155,0.08678909952606628,0.10275279367675116,0,0.33579118124170476
50,MA,Bristol County,41.64,-70.94,7579.0,34259.0,2740,Massachusetts,151400.0,159700.0,151200.0,210000,183500.0,0.05482166446499348,-0.05322479649342515,0.38888888888888884,-0.1261904761904762,0,0.23110957483581057
53,MN,Hennepin County,44.9,-93.6,1172.0,108911.0,55331,Minnesota,383000.0,420000.0,490700.0,521700,480100.0,0.0966057441253263,0.16833333333333322,0.06317505604238849,-0.07973931378186694,0,0.660638386532211
54,MN,Dakota County,44.8,-93.14,2369.0,103829.0,55123,Minnesota,266800.0,283400.0,290600.0,300900,305700.0,0.06221889055472274,0.025405786873676783,0.035443909153475506,0.0159521435692922,0,0.6802509710188228
55,MN,Ramsey County,45.01,-93.16,2613.0,61113.0,55113,Minnesota,215000.0,219800.0,220400.0,235300,237100.0,0.022325581395348904,0.0027297543221109777,0.0676043557168784,0.007649808754781162,0,0.5456549566206799
56,CA,Orange County,33.81,-117.81,5608.0,79650.0,92867,California,606500.0,623000.0,621300.0,677900,713100.0,0.027205276174773196,-0.0027287319422151235,0.09109930790278442,0.05192506269361252,0,0.407435673789795
57,CA,Riverside County,33.92,-117.25,7277.0,42825.0,92553,California,199100.0,220700.0,241600.0,257800,281600.0,0.10848819688598699,0.0946986859990937,0.06705298013245042,0.0923196276183087,0,0.15611886824863194
58,CA,Riverside County,33.7,-116.23,2729.0,41335.0,92201,California,204200.0,215600.0,244500.0,261900,274800.0,0.0558276199804113,0.13404452690166968,0.07116564417177917,0.049255441008018375,0,0.1952059437620326
