,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
20,OH,Medina County,41.24814600000001,-81.883057,2011.0,65113.0,44212,Ohio,,,,,148500.0,163000.0,151800.0,156100.0,163100,179600.0,,,,,0.09764309764309775,-0.06871165644171784,0.02832674571805005,0.04484304932735417,0.10116492949110967,1,0.33335563509851807
21,MN,Dakota County,44.728298,-93.048073,642.0,85602.0,55068,Minnesota,,,,190400.0,192400.0,204100.0,230500.0,225600.0,226300,250500.0,,,,0.010504201680672232,0.060810810810810745,0.12934835864772176,-0.02125813449023861,0.00310283687943258,0.10693769332744152,1,0.5077565295876347
22,MN,Ramsey County,45.011433,-92.998383,2686.0,51782.0,55109,Minnesota,185100.0,173000.0,157900.0,152400.0,141100.0,174900.0,194300.0,183500.0,204900,213400.0,-0.0653700702323069,-0.08728323699421969,-0.03483217226092461,-0.0741469816272966,0.2395464209780298,0.11092052601486557,-0.05558414822439528,0.1166212534059945,0.041483650561249474,1,0.3543123543123543
23,MN,Anoka County,45.22728,-93.38369,2827.0,84768.0,55316,Minnesota,,,,,,,185200.0,197100.0,226600,241400.0,,,,,,,0.06425485961123112,0.1496702181633689,0.06531332744924967,1,0.4705845261365786
24,MN,Scott County,44.799507,-93.499779,1787.0,116682.0,55347,Minnesota,,,,,,,339600.0,304700.0,322800,321100.0,,,,,,,-0.1027679623085983,0.05940269117164432,-0.005266418835192077,1,0.7367568934986086
25,MN,Hennepin County,45.09507,-93.435242,1357.0,78965.0,55369,Minnesota,,,,,,,193200.0,224700.0,220100,247100.0,,,,,,,0.16304347826086962,-0.02047174009790831,0.12267151294865974,1,0.5078505226628296
26,MN,Scott County,44.736092,-93.482994,686.0,79592.0,55379,Minnesota,,,,,179900.0,196900.0,230400.0,205600.0,234100,230400.0,,,,,0.09449694274597009,0.17013712544438797,-0.10763888888888884,0.1386186770428015,-0.0158052114480991,1,0.4760686046067459
27,CA,San Bernardino County,34.084896,-117.52639,1184.0,103203.0,91739,California,419400.0,415600.0,415800.0,364400.0,416300.0,515800.0,491200.0,550000.0,624700,642000.0,-0.009060562708631426,0.00048123195380167516,-0.12361712361712363,0.14242590559824375,0.23901032908959885,-0.047692904226444344,0.11970684039087942,0.13581818181818184,0.027693292780534673,1,0.45753281752586283
28,CA,Riverside County,33.917194,-116.815086,255.0,39291.0,92220,California,,,118700.0,118000.0,146600.0,160400.0,178600.0,207900.0,225900,249300.0,,,-0.005897219882055604,0.24237288135593227,0.09413369713506148,0.11346633416458851,0.16405375139977596,0.08658008658008653,0.10358565737051784,1,0.2214457211456011
29,CA,Riverside County,33.881794,-116.460991,3251.0,44440.0,92234,California,176200.0,159300.0,162600.0,136800.0,167000.0,213700.0,231700.0,252900.0,251000,276200.0,-0.09591373439273554,0.020715630885122405,-0.15867158671586712,0.2207602339181287,0.2796407185628742,0.08423022929340207,0.09149762624082869,-0.007512850929221049,0.10039840637450204,1,0.2211038156590684
30,CA,Riverside County,33.919495,-116.573288,949.0,33682.0,92240,California,,,,,,130100.0,147600.0,157100.0,181700,205100.0,,,,,,0.13451191391237516,0.06436314363143625,0.15658816040738377,0.12878370941111728,1,0.1883742316441605
31,CA,Riverside County,33.889694,-116.57679,714.0,46515.0,92262,California,,,,209100.0,258900.0,307800.0,320000.0,362100.0,361100,368600.0,,,,0.2381635581061694,0.18887601390498254,0.03963612735542554,0.13156250000000003,-0.002761668047500665,0.020769869842149014,1,0.3965992877564328
32,CA,San Bernardino County,34.623196,-117.112785,222.0,56477.0,92307,California,137200.0,131300.0,125900.0,123000.0,142200.0,167700.0,189500.0,202600.0,224400,260900.0,-0.04300291545189505,-0.041127189642041095,-0.023034154090548098,0.15609756097560967,0.17932489451476785,0.12999403697078105,0.06912928759894466,0.10760118460019741,0.16265597147950084,1,0.2702543867013685
